p3
Integration time [ms]:  10.000
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1307078U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 351.07;   24.800;    0.420;    0.000;24.38000
 351.37;   11.100;    2.109;    0.000; 8.99125
 351.66;   18.610;    2.484;    0.000;16.12625
 351.95;   12.760;    0.324;    0.000;12.43625
 352.24;    5.380;    1.910;    0.000; 3.47000
 352.54;    6.520;    1.401;    0.000; 5.11875
 352.83;   15.390;   -0.629;    0.000;16.01875
 353.12;   12.490;    1.364;    0.000;11.12625
 353.42;    8.360;   -0.535;    0.000; 8.89500
 353.71;   12.800;    2.263;    0.000;10.53750
 354.00;   15.990;    3.929;    0.000;12.06125
 354.30;   14.100;    1.025;    0.000;13.07500
 354.59;   13.020;   -0.266;    0.000;13.28625
 354.88;    9.880;    5.190;    0.000; 4.69000
 355.17;    3.060;   -0.014;    0.000; 3.07375
 355.47;   -2.810;    2.134;    0.000;-4.94375
 355.76;   11.850;    0.416;    0.000;11.43375
 356.05;   17.330;    1.192;    0.000;16.13750
 356.35;   11.960;    1.587;    0.000;10.37250
 356.64;   21.430;    1.753;    0.000;19.67750
 356.93;   12.620;    1.768;    0.000;10.85250
 357.22;   24.530;    1.366;    0.000;23.16375
 357.52;    3.770;    3.320;    0.000; 0.45000
 357.81;   17.890;    1.643;    0.000;16.24750
 358.10;    8.090;   -0.600;    0.000; 8.69000
 358.39;   18.600;    1.461;    0.000;17.13875
 358.69;   13.610;    1.997;    0.000;11.61250
 358.98;    7.130;    0.317;    0.000; 6.81250
 359.27;   13.220;    1.446;    0.000;11.77375
 359.57;   15.310;    2.324;    0.000;12.98625
 359.86;    7.190;   -0.700;    0.000; 7.89000
 360.15;   19.830;    1.474;    0.000;18.35625
 360.44;    9.750;   -0.946;    0.000;10.69625
 360.74;   15.500;    1.480;    0.000;14.02000
 361.03;    3.050;   -0.345;    0.000; 3.39500
 361.32;   12.750;    2.919;    0.000; 9.83125
 361.61;    6.330;    2.338;    0.000; 3.99250
 361.91;   15.070;    2.645;    0.000;12.42500
 362.20;   -1.760;    1.590;    0.000;-3.35000
 362.49;   12.410;    1.854;    0.000;10.55625
