
Integration time [ms]:  10.000
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1307077U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 350.80;   15.940;    4.030;    0.000;11.91000
 351.10;    2.640;   -4.180;    0.000; 6.82000
 351.39;    1.670;    2.470;    0.000;-0.80000
 351.69;    2.060;   -5.160;    0.000; 7.22000
 351.99;    2.280;    6.180;    0.000;-3.90000
 352.28;   -3.750;  -10.540;    0.000; 6.79000
 352.58;    1.430;    5.710;    0.000;-4.28000
 352.88;    4.830;    5.210;    0.000;-0.38000
 353.17;    7.010;   14.010;    0.000;-7.00000
 353.47;    1.330;   -9.550;    0.000;10.88000
 353.76;    2.000;    8.350;    0.000;-6.35000
 354.06;    2.190;   -1.640;    0.000; 3.83000
 354.36;    4.930;    3.130;    0.000; 1.80000
 354.65;   13.100;    2.490;    0.000;10.61000
 354.95;   11.210;   -4.840;    0.000;16.05000
 355.24;    1.490;   -6.230;    0.000; 7.72000
 355.54;    1.240;    5.960;    0.000;-4.72000
 355.84;    3.520;   -2.430;    0.000; 5.95000
 356.13;   20.140;   14.640;    0.000; 5.50000
 356.43;   -4.980;  -16.650;    0.000;11.67000
 356.72;    2.520;   -2.860;    0.000; 5.38000
 357.02;    4.060;   -4.950;    0.000; 9.01000
 357.31;   15.550;   15.180;    0.000; 0.37000
 357.61;   14.900;    0.860;    0.000;14.04000
 357.91;   -1.580;   -0.030;    0.000;-1.55000
 358.20;    2.340;   -6.640;    0.000; 8.98000
 358.50;    4.860;   -1.800;    0.000; 6.66000
 358.79;    8.280;   -6.380;    0.000;14.66000
 359.09;    2.750;    7.630;    0.000;-4.88000
 359.38;    3.470;   -4.280;    0.000; 7.75000
 359.68;    0.900;   -3.990;    0.000; 4.89000
 359.98;    5.080;   -9.890;    0.000;14.97000
 360.27;    4.090;    3.120;    0.000; 0.97000
 360.57;   -5.860;   -9.860;    0.000; 4.00000
 360.86;   10.300;    4.120;    0.000; 6.18000
 361.16;   -1.900;   -9.770;    0.000; 7.87000
 361.45;    5.220;   -2.580;    0.000; 7.80000
 361.75;   -2.440;   -7.950;    0.000; 5.51000
