p5
Integration time [ms]:  10.000
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1307077U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 350.80;    3.260;    4.030;    0.000;-0.77000
 351.10;   -6.710;   -4.180;    0.000;-2.53000
 351.39;    7.940;    2.470;    0.000; 5.47000
 351.69;   -8.490;   -5.160;    0.000;-3.33000
 351.99;    7.930;    6.180;    0.000; 1.75000
 352.28;   -8.440;  -10.540;    0.000; 2.10000
 352.58;    4.460;    5.710;    0.000;-1.25000
 352.88;   -9.020;    5.210;    0.000;-14.23000
 353.17;    7.730;   14.010;    0.000;-6.28000
 353.47;   -2.140;   -9.550;    0.000; 7.41000
 353.76;    0.470;    8.350;    0.000;-7.88000
 354.06;    4.330;   -1.640;    0.000; 5.97000
 354.36;    8.760;    3.130;    0.000; 5.63000
 354.65;    7.390;    2.490;    0.000; 4.90000
 354.95;   -2.590;   -4.840;    0.000; 2.25000
 355.24;    5.750;   -6.230;    0.000;11.98000
 355.54;    4.740;    5.960;    0.000;-1.22000
 355.84;    3.590;   -2.430;    0.000; 6.02000
 356.13;   16.850;   14.640;    0.000; 2.21000
 356.43;   -1.960;  -16.650;    0.000;14.69000
 356.72;   -4.690;   -2.860;    0.000;-1.83000
 357.02;   -1.560;   -4.950;    0.000; 3.39000
 357.31;   18.570;   15.180;    0.000; 3.39000
 357.61;    3.720;    0.860;    0.000; 2.86000
 357.91;   -6.560;   -0.030;    0.000;-6.53000
 358.20;  -10.410;   -6.640;    0.000;-3.77000
 358.50;   -4.500;   -1.800;    0.000;-2.70000
 358.79;    0.540;   -6.380;    0.000; 6.92000
 359.09;    7.210;    7.630;    0.000;-0.42000
 359.38;   -5.830;   -4.280;    0.000;-1.55000
 359.68;  -12.670;   -3.990;    0.000;-8.68000
 359.98;    7.980;   -9.890;    0.000;17.87000
 360.27;    3.990;    3.120;    0.000; 0.87000
 360.57;   -4.080;   -9.860;    0.000; 5.78000
 360.86;    7.720;    4.120;    0.000; 3.60000
 361.16;   -9.540;   -9.770;    0.000; 0.23000
 361.45;   -2.440;   -2.580;    0.000; 0.14000
 361.75;   -9.590;   -7.950;    0.000;-1.64000
