point2
Integration time [ms]:  15.000
Averaging Nr. [scans]: 15
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1307078U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 351.07;   -4.467;   23.733;    0.000;-28.20000
 351.37;    3.133;   -4.467;    0.000; 7.60000
 351.66;    5.867;    3.333;    0.000; 2.53333
 351.95;  -18.400;  -13.467;    0.000;-4.93333
 352.24;   -3.933;   -8.067;    0.000; 4.13333
 352.54;   -5.267;  -24.200;    0.000;18.93333
 352.83;  -15.067;    0.267;    0.000;-15.33333
 353.12;    5.333;   -2.733;    0.000; 8.06667
 353.42;  -20.467;  -10.267;    0.000;-10.20000
 353.71;  -12.333;   -6.533;    0.000;-5.80000
 354.00;    4.067;    1.600;    0.000; 2.46667
 354.30;  -23.667;  -21.333;    0.000;-2.33333
 354.59;  -11.067;  -15.133;    0.000; 4.06667
 354.88;  -19.667;    2.333;    0.000;-22.00000
 355.17;  -20.000;   -5.867;    0.000;-14.13333
 355.47;   -7.400;  -19.600;    0.000;12.20000
 355.76;   -2.600;    0.867;    0.000;-3.46667
 356.05;    9.533;  -12.333;    0.000;21.86667
 356.35;    3.333;   -0.533;    0.000; 3.86667
 356.64;    4.467;   13.200;    0.000;-8.73333
 356.93;   -9.133;   -4.933;    0.000;-4.20000
 357.22;    5.333;   -8.133;    0.000;13.46667
 357.52;  -14.933;   -2.867;    0.000;-12.06667
 357.81;   10.467;  -14.600;    0.000;25.06667
 358.10;   -0.067;  -13.533;    0.000;13.46667
 358.39;   -3.800;  -12.400;    0.000; 8.60000
 358.69;    0.533;   -6.000;    0.000; 6.53333
 358.98;  -19.400;  -19.267;    0.000;-0.13333
 359.27;    7.600;    6.000;    0.000; 1.60000
 359.57;  -14.600;   15.333;    0.000;-29.93333
 359.86;  -11.200;  -22.333;    0.000;11.13333
 360.15;    1.000;   10.667;    0.000;-9.66667
 360.44;   11.000;  -15.000;    0.000;26.00000
 360.74;    5.200;   -6.000;    0.000;11.20000
 361.03;  -20.733;    4.867;    0.000;-25.60000
 361.32;    8.000;   -6.333;    0.000;14.33333
 361.61;  -10.333;   -5.067;    0.000;-5.26667
